Name	Score	padj	coverage	n_topfrac
FGD4	0.0132194643653753	0.0132194643653753	4	2
CHST2	0.013365090926675	0.013365090926675	5	2
SCG5	0.0136586537065157	0.0136586537065157	5	2
CTHRC1	0.0137571918212534	0.0137571918212534	5	2
INA	0.0138065890265385	0.0138065890265385	5	2
NKD1	0.0138384809598559	0.0138384809598559	4	1
RAMP1	0.0138384809598559	0.0138384809598559	5	2
VAT1L	0.0138384809598559	0.0138384809598559	4	1
FKBP5	0.0138384809598559	0.0138384809598559	4	1
EEF1B2	0.0139056396497889	0.0139056396497889	5	2
CCND3	0.0139552930344977	0.0139552930344977	5	2
SLC25A23	0.0140050317790941	0.0140050317790941	5	2
COL5A2	0.0140548558669538	0.0140548558669538	5	2
CXCL5	0.0140548558669538	0.0140548558669538	5	2
RNF115	0.0141547600059743	0.0141547600059743	4	2
RPL6P27	0.0142048400238946	0.0142048400238946	4	2
ANKH	0.0144565189329281	0.0144565189329281	5	2
TGFBR3	0.0145577869688384	0.0145577869688384	5	2
ATOX1	0.0146063860774525	0.0146063860774525	5	1
SLIT2	0.0146063860774525	0.0146063860774525	5	1
RPL3P4	0.0146085487358489	0.0146085487358489	4	2
PPARG	0.0146085487358489	0.0146085487358489	5	2
MLPH	0.0146593956467556	0.0146593956467556	5	2
TNFAIP8L3	0.0148124470768231	0.0148124470768231	5	2
SLITRK1	0.0149149067786566	0.0149149067786566	4	2
TYMP	0.0149662642043179	0.0149662642043179	4	2
SLPI	0.0150177066576827	0.0150177066576827	4	2
IKZF2	0.0150692341221584	0.0150692341221584	5	2
ADAMTS7	0.0151725440180801	0.0151725440180801	5	2
TSPAN5	0.0152243264163488	0.0152243264163488	5	2
MT1L	0.0154845122473651	0.0154845122473651	5	2
EEPD1	0.0154845122473651	0.0154845122473651	5	2
RPS4X	0.0155891807287706	0.0155891807287706	5	2
EIF5A	0.0156416422208055	0.0156416422208055	5	2
PHB	0.015694188524963	0.015694188524963	5	2
PLAC9	0.0158523361444588	0.0158523361444588	5	2
SHFM1	0.015958191647623	0.015958191647623	5	2
SCARA5	0.0160112464765579	0.0160112464765579	5	2
BEGAIN	0.0161419124815184	0.0161419124815184	5	1
LIMCH1	0.0161419124815184	0.0161419124815184	5	1
STS	0.0161709190740269	0.0161709190740269	5	2
RPL3	0.0162777907323024	0.0162777907323024	5	2
ITPRIP	0.01633135348976	0.01633135348976	5	2
WWC3	0.01633135348976	0.01633135348976	5	2
RPLP0P6	0.0163850008440261	0.0163850008440261	4	2
RP11-175K6.1	0.0163850008440261	0.0163850008440261	3	2
TSSC4	0.0167086605758235	0.0167086605758235	5	2
RPL10A	0.0168716311583136	0.0168716311583136	5	2
APBB2	0.0168716311583136	0.0168716311583136	5	2
C2CD4A	0.0169095337854736	0.0169095337854736	3	1
CKLF	0.0169095337854736	0.0169095337854736	4	1
TFPI2	0.0169095337854736	0.0169095337854736	5	1
IFI44	0.0169095337854736	0.0169095337854736	5	2
AQP1	0.0169095337854736	0.0169095337854736	5	1
ENDOD1	0.016926123570588	0.016926123570588	5	2
GGT5	0.016926123570588	0.016926123570588	4	2
IMP4	0.0172548501769752	0.0172548501769752	5	2
F2RL1	0.0173099331458805	0.0173099331458805	5	2
COL8A1	0.0173099331458805	0.0173099331458805	5	2
ORAI1	0.017365100413907	0.017365100413907	4	2
OCA2	0.0174203519645315	0.0174203519645315	4	2
TFPI	0.0175866121467849	0.0175866121467849	5	2
C1S	0.0175866121467849	0.0175866121467849	5	2
EEF1D	0.0176422006626011	0.0176422006626011	5	2
NRROS	0.0176770605023666	0.0176770605023666	5	2
OST4	0.0176770605023666	0.0176770605023666	4	1
VCAM1	0.0176770605023666	0.0176770605023666	5	1
SORBS1	0.0176770605023666	0.0176770605023666	5	1
RP11-466H18.1	0.0176978733784229	0.0176978733784229	3	2
CMKLR1	0.0176978733784229	0.0176978733784229	5	2
PROS1	0.0178653965607927	0.0178653965607927	5	2
RPL36AL	0.0179774993796907	0.0179774993796907	5	2
RRP1	0.0180899386023775	0.0180899386023775	5	2
TGFB3	0.0182592279047069	0.0182592279047069	5	2
EYA2	0.0182592279047069	0.0182592279047069	5	2
IRX3	0.01831582573103	0.01831582573103	5	2
RPL32	0.01831582573103	0.01831582573103	4	2
PRKAR2B	0.0183725075592977	0.0183725075592977	5	2
RASIP1	0.0184444926409391	0.0184444926409391	5	1
RPL27	0.0184444926409391	0.0184444926409391	5	1
