gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
PARP14	down	0.8	0.0184444926409391	0.0184444926409391	5	1
NQO1	down	0.8	0.0191170080007328	0.0191170080007328	5	2
AHRR	down	0.8	0.0192118302099321	0.0192118302099321	5	1
DAAM2	down	0.8	0.0192118302099321	0.0192118302099321	5	1
DDIT3	down	0.8	0.0192118302099321	0.0192118302099321	5	1
PLEKHG4	down	0.8	0.0196407269043381	0.0196407269043381	5	2
ANKRD12	down	0.8	0.0197580291580469	0.0197580291580469	5	2
C10orf12	down	0.8	0.0199790732180861	0.0199790732180861	4	1
COL27A1	down	0.8	0.0199790732180861	0.0199790732180861	5	1
NPC1	down	0.8	0.0199790732180861	0.0199790732180861	5	1
SAPCD2	down	0.8	0.0199790732180861	0.0199790732180861	5	1
UACA	down	0.8	0.0201119415537548	0.0201119415537548	5	2
PTPN13	down	0.8	0.0201712192686704	0.0201712192686704	5	2
PLXNC1	down	0.8	0.0204688596377366	0.0204688596377366	5	2
CRIM1	down	0.8	0.0205884996492266	0.0205884996492266	5	2
DLL1	down	0.8	0.0207462216741412	0.0207462216741412	5	1
RBM41	down	0.8	0.0207462216741412	0.0207462216741412	5	1
TM4SF1	down	0.8	0.0207462216741412	0.0207462216741412	5	1
ANPEP	down	0.8	0.0215132755868368	0.0215132755868368	5	1
SYNRG	down	0.8	0.0215576125145191	0.0215576125145191	4	2
NCOA2	down	0.8	0.0221741149434528	0.0221741149434528	5	2
CEPT1	down	0.8	0.0222802349649117	0.0222802349649117	5	1
POSTN	down	0.8	0.0222802349649117	0.0222802349649117	5	1
TRAM2	down	0.8	0.0222802349649117	0.0222802349649117	5	2
AHCTF1	down	0.8	0.0230470998171044	0.0230470998171044	5	1
CDH6	down	0.8	0.0230470998171044	0.0230470998171044	5	1
COL6A1	down	0.8	0.0230470998171044	0.0230470998171044	5	1
CENPF	down	0.8	0.0231777620902714	0.0231777620902714	5	2
FBN1	down	0.8	0.0238138701521528	0.0238138701521528	5	1
LTBP1	down	0.8	0.0238138701521528	0.0238138701521528	5	2
LTBP4	down	0.8	0.024580545978794	0.024580545978794	5	1
