Name	Score	padj	coverage	n_topfrac
EIF4EBP2	0.686902964783605	0.686902964783605	5	1
HIST1H4J	0.686902964783605	0.686902964783605	2	1
GTF2H3	0.686902964783605	0.686902964783605	5	1
PLD1	0.687586758465282	0.687586758465282	5	1
RAP2C-AS1	0.687586758465282	0.687586758465282	4	1
CPSF4L	0.687586758465282	0.687586758465282	2	1
LMNB2	0.687586758465282	0.687586758465282	5	1
DPYSL2	0.688270465417887	0.688270465417887	5	1
FOXN2	0.688270465417887	0.688270465417887	5	1
YY2	0.688270465417887	0.688270465417887	5	1
RPL26P35	0.688270465417887	0.688270465417887	1	1
RP11-81N13.1	0.688954085649671	0.688954085649671	4	1
TIMELESS	0.688954085649671	0.688954085649671	5	1
THNSL1	0.688954085649671	0.688954085649671	5	1
AGGF1	0.689637619168884	0.689637619168884	5	1
ASNA1	0.689637619168884	0.689637619168884	5	1
RPL10	0.689637619168884	0.689637619168884	5	1
AC007620.3	0.690321065983777	0.690321065983777	3	1
