signature	direction	gene
RRA744_pan_dental	down	SH3BP4
RRA744_pan_dental	down	TNFSF15
RRA744_pan_dental	down	STEAP2
RRA744_pan_dental	down	MBNL1
RRA744_pan_dental	down	TNXB
RRA744_pan_dental	down	CHL1
RRA744_pan_dental	down	NCEH1
RRA744_pan_dental	down	SHMT2
RRA744_pan_dental	down	VEGFA
RRA744_pan_dental	down	HMGN2
RRA744_pan_dental	down	NABP1
RRA744_pan_dental	down	DCBLD2
RRA744_pan_dental	down	ROCK2
RRA744_pan_dental	down	TEAD1
RRA744_pan_dental	down	ALDH3A1
RRA744_pan_dental	down	SMAD9
RRA744_pan_dental	down	SLC39A10
RRA744_pan_dental	down	FYCO1
RRA744_pan_dental	down	SEL1L3
RRA744_pan_dental	down	SPOCK1
RRA744_pan_dental	down	JRK
RRA744_pan_dental	down	NCAPG
RRA744_pan_dental	down	PSG5
RRA744_pan_dental	down	NAV3
RRA744_pan_dental	down	EBF3
RRA744_pan_dental	down	HEG1
RRA744_pan_dental	down	ADAM12
RRA744_pan_dental	down	N4BP3
RRA744_pan_dental	down	ADD3
RRA744_pan_dental	down	TOP2A
RRA744_pan_dental	down	SLC35E2B
RRA744_pan_dental	down	EPS15
RRA744_pan_dental	down	SMAD3
RRA744_pan_dental	down	ATP13A3
RRA744_pan_dental	down	E2F7
RRA744_pan_dental	down	CPXM2
RRA744_pan_dental	down	KIT
RRA744_pan_dental	down	LRRC37A17P
RRA744_pan_dental	down	PNPLA3
RRA744_pan_dental	down	CADM1
RRA744_pan_dental	down	TENM2
RRA744_pan_dental	down	EPGN
RRA744_pan_dental	down	ITGA8
RRA744_pan_dental	down	FER1L6
RRA744_pan_dental	down	GOLGA8B
RRA744_pan_dental	down	ITGA11
RRA744_pan_dental	down	UNC5D
RRA744_pan_dental	down	BDNF
RRA744_pan_dental	down	CPEB2
RRA744_pan_dental	down	DPF3
RRA744_pan_dental	down	EPHB1
RRA744_pan_dental	down	GREB1L
RRA744_pan_dental	down	UTRN
RRA744_pan_dental	down	COL8A1
RRA744_pan_dental	down	PRKAA1
RRA744_pan_dental	down	AKAP2
RRA744_pan_dental	down	AQP1
RRA744_pan_dental	down	GPRC5A
RRA744_pan_dental	down	LAMP5
RRA744_pan_dental	down	SEMA3D
RRA744_pan_dental	down	TNC
RRA744_pan_dental	down	SNTB1
RRA744_pan_dental	down	SAMD9L
RRA744_pan_dental	down	APCDD1
RRA744_pan_dental	down	KIAA1644
RRA744_pan_dental	down	PSG4
RRA744_pan_dental	down	SGMS2
RRA744_pan_dental	down	PLCB1
RRA744_pan_dental	down	STC2
RRA744_pan_dental	down	AXL
RRA744_pan_dental	down	GPNMB
RRA744_pan_dental	down	BEX1
RRA744_pan_dental	down	SLC7A11
RRA744_pan_dental	down	ITGA1
RRA744_pan_dental	down	OSR1
RRA744_pan_dental	down	SULF1
RRA744_pan_dental	down	ARHGAP33
RRA744_pan_dental	down	C1GALT1
RRA744_pan_dental	down	ADAM33
RRA744_pan_dental	down	IL6
RRA744_pan_dental	down	RFX7
RRA744_pan_dental	down	ADAMTS2
RRA744_pan_dental	down	FOXQ1
RRA744_pan_dental	down	PTGS2
RRA744_pan_dental	down	RPAP2
