atlas	signature	compartment	score_z
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Endothelial	0.351
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Epithelial	-1.267
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Erythroid	0.808
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Mesenchymal_osteo	-1.616
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Myeloid	0.625
GSE269255_mouse_ORNJ	EX_PDLSC_CALD1kd_GSE236009	Tcell	0.623
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Bcell	-0.496
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Endothelial	-0.408
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Epithelial	-0.024
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Erythroid	-0.511
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Mesenchymal_osteo	2.236
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Myeloid	-0.337
GSE269255_mouse_ORNJ	POSctrl_osteo_markers	Tcell	-0.462
