gene	cell_type	is_dysregulated	abs_avg_log2FC	dataset
NAV1	Endothelial	TRUE	0.546481909770197	GSE295106
ZCRB1	Endothelial	TRUE	0.258870661543988	GSE295106
TM2D1	Endothelial	TRUE	0.567218778933765	GSE295106
GOLPH3	Endothelial	TRUE	0.289652106343749	GSE295106
MSL2	Endothelial	TRUE	0.456925386201275	GSE295106
TTC3	Endothelial	TRUE	0.648540032606334	GSE295106
PSMA5	Endothelial	TRUE	0.458835253132333	GSE295106
B3GNT2	Endothelial	TRUE	0.412152593440659	GSE295106
ELMSAN1	Endothelial	TRUE	0.388912366738435	GSE295106
PPP1R15A	Endothelial	TRUE	0.511777652049456	GSE295106
SMC1A	Endothelial	TRUE	0.319204242843996	GSE295106
1110004F10RIK	Endothelial	TRUE	0.338244122508812	GSE295106
WDFY3	Endothelial	TRUE	0.430946108836316	GSE295106
PSMB2	Endothelial	TRUE	0.337709588551042	GSE295106
RCN2	Endothelial	TRUE	0.445769125337166	GSE295106
NCOA3	Endothelial	TRUE	0.341348378438394	GSE295106
SLC16A9	Endothelial	TRUE	1.11113203594902	GSE295106
5031425E22RIK	Endothelial	TRUE	0.350837694934202	GSE295106
LYN	Endothelial	TRUE	0.28460364623575	GSE295106
EBNA1BP2	Endothelial	TRUE	0.492046841996902	GSE295106
XYLT1	Endothelial	TRUE	0.325212508018407	GSE295106
PFDN4	Endothelial	TRUE	0.483938037343085	GSE295106
DGKZ	Endothelial	TRUE	0.455117932091793	GSE295106
NEK6	Endothelial	TRUE	0.435030523233988	GSE295106
SLC26A11	Endothelial	TRUE	1.38565346034767	GSE295106
GM17251	Endothelial	TRUE	1.06029159676179	GSE295106
PSMG3	Endothelial	TRUE	0.841225339521599	GSE295106
CD52	Endothelial	TRUE	0.325196346253672	GSE295106
NCOA2	Endothelial	TRUE	0.292064932007725	GSE295106
A730081D07RIK	Endothelial	TRUE	0.737548838355898	GSE295106
DCAF5	Endothelial	TRUE	0.589163281940638	GSE295106
HEXA	Endothelial	TRUE	0.612812666175892	GSE295106
ZC3H12C	Endothelial	TRUE	0.390466186525096	GSE295106
MBTD1	Endothelial	FALSE	0.287743202712759	GSE295106
TRERF1	Endothelial	FALSE	0.724317280990289	GSE295106
OXCT1	Endothelial	FALSE	0.471370625138632	GSE295106
PTPN1	Endothelial	FALSE	0.290624978448323	GSE295106
FNBP1L	Endothelial	FALSE	0.444826420196616	GSE295106
GM21887	Endothelial	FALSE	0.899413405659365	GSE295106
MED12L	Endothelial	FALSE	0.652280220708839	GSE295106
SPEN	Endothelial	FALSE	0.370153544320958	GSE295106
KLHL9	Endothelial	FALSE	0.510050982079475	GSE295106
SCN4A	Endothelial	FALSE	1.30633225650332	GSE295106
TMEM131L	Endothelial	FALSE	0.324452793697787	GSE295106
2610307P16RIK	Endothelial	FALSE	0.401379167957124	GSE295106
GK	Endothelial	FALSE	0.597989387823264	GSE295106
CNNM2	Endothelial	FALSE	0.978007115283374	GSE295106
CDC40	Endothelial	FALSE	0.313928384678509	GSE295106
RASGEF1B	Endothelial	FALSE	0.499140325167464	GSE295106
IL6RA	Endothelial	FALSE	0.614235774527972	GSE295106
RREB1	Endothelial	FALSE	0.363420806452122	GSE295106
CLDND1	Endothelial	FALSE	0.516851020989091	GSE295106
CSF3	Endothelial	FALSE	1.0104575663938	GSE295106
SFT2D1	Endothelial	FALSE	0.503521117180945	GSE295106
RUNX1	Endothelial	FALSE	0.258866720458482	GSE295106
MTCH2	Endothelial	FALSE	0.410674286064581	GSE295106
RNASEH1	Endothelial	FALSE	0.704035585940644	GSE295106
EIF3L	Endothelial	FALSE	0.404842206745002	GSE295106
IQGAP2	Endothelial	FALSE	0.269194903968791	GSE295106
GJA1	Endothelial	FALSE	0.715710131445642	GSE295106
N4BP3	Endothelial	FALSE	0.552023981703308	GSE295106
